input,output,pearson,spearman,mutual information (sklearn),normalized mutual information,MIC,MAS,MEV,MCN_general
ps,qtot,0.1601191719687975,0.2011101635708886,0.1572282005144858,0.0898175445608473,0.1268040444675663,0.0140619235938287,0.1268040444675663,2.0
minSoilDepthFrac_forest,qtot,-0.0878074197441117,-0.1582424003695874,0.184932407817131,0.1108802824930117,0.1610099921970936,0.0406104598649841,0.1610099921970936,2.0
tasmax,potevap,0.9161550427822064,0.9492642502371762,1.291625598971585,0.3059214982928333,0.7587459068022501,0.0354979803482425,0.7587459068022501,2.0
tasmin,qr,0.2601377358860357,0.547929822843959,0.2363189132934007,0.0768900798392117,0.3141578800140142,0.0394124021477138,0.3141578800140142,2.0
kc_forest,potevap,0.599607837535113,0.7016755825603416,0.7276283424531123,0.2016501275579932,0.6110526218831792,0.0990407941607612,0.6110526218831792,2.0
tas,qr,0.2176724083812077,0.5175872934230551,0.2336874801351083,0.0771780214612581,0.2984396429506295,0.0267518983648973,0.2984396429506295,2.0
pr,qr,0.4150525322104842,0.3934549434907307,0.2039944009424728,0.0924048758695102,0.2040398727510722,0.0199580363208774,0.2040398727510722,2.0
interceptcap_forest,qtot,0.1970206629534192,0.2570442905584353,0.1748773264505061,0.0868454323352569,0.1661885392631671,0.0231073519827996,0.1661885392631671,2.0
ps,evap-total,0.0071034109995623,-0.1046727665157545,0.1490867963338731,0.0782744817535708,0.0883123539465415,0.0131876195034046,0.0883123539465415,2.0
minSoilDepthFrac_forest,evap-total,0.0682150448956184,0.1219372572742355,0.3010036925957013,0.1329377703658574,0.320120784928864,0.161686393052787,0.320120784928864,2.584962500721156
tasmax,qr,0.1890379345465324,0.4995450944198745,0.2180298338664705,0.0746549610820701,0.2744297849483146,0.0333485094408226,0.2744297849483146,2.0
rootFraction1_forest,qtot,0.2788170735380104,0.3018675128325378,0.1548105888325679,0.0965767596006165,0.1535807713211609,0.0201599308073853,0.1535807713211609,2.0
kc_forest,qr,0.216618429870891,0.4621839526250049,0.2435939838410172,0.0725382802276762,0.2778266561982579,0.0972260539671921,0.2778266561982579,2.0
tasmin,qtot,-0.078771393561957,-0.1692966530719887,0.1404572212161507,0.0827841658121208,0.0914325747462673,0.0143300018798157,0.0914325747462673,2.0
tas,qtot,-0.1262045774445068,-0.2161460927184192,0.1695255702029188,0.0874197519903942,0.1079516110233116,0.0144610658158109,0.1079516110233116,2.0
ps,potevap,-0.2517943003560148,-0.3262425871968356,0.2635475912868887,0.118937453717977,0.1485257721951907,0.0331524686457334,0.1485257721951907,2.0
minSoilDepthFrac_forest,potevap,0.3004504908944494,0.388918076894926,0.5104729784284374,0.1888144577856565,0.4247803087334564,0.045094903007177,0.4247803087334564,2.0
pr,qtot,0.713337928779058,0.6674000132197937,0.5294598762125888,0.158928635754333,0.3249447352398176,0.0427197016702073,0.3249447352398176,2.0
interceptcap_forest,evap-total,0.6152623539805039,0.7259023690238872,0.5128236510993034,0.162901325080555,0.4918922299858298,0.0363269770317004,0.4918922299858298,2.0
tasmax,qtot,-0.1465686586492416,-0.2405103041593557,0.1737841806033682,0.0872244986562091,0.1264976866808879,0.0177171932874854,0.1264976866808879,2.0
rootFraction1_forest,evap-total,0.1564911404858965,0.0344726209932779,0.3638228966653463,0.1340450522296869,0.3423209409578938,0.0868623717536806,0.3423209409578938,2.0
kc_forest,qtot,-0.037013715794274,-0.1234115945634539,0.2527370947675313,0.0975260477145376,0.2002202946959927,0.1012121452154767,0.2002202946959927,2.584962500721156
tasmin,evap-total,0.519644876554692,0.505626137919443,0.4240482689089022,0.1260243653144078,0.3430043273287032,0.0384973625651426,0.3430043273287032,2.0
interceptcap_forest,potevap,0.1696800076695444,0.241411489826293,0.5891212236849119,0.1782827327821861,0.3928721132243414,0.0534171460533379,0.3928721132243414,2.0
ps,qr,0.0962646488245936,0.1437403878255315,0.0811837730717988,0.0449495880376019,0.1069704547330136,0.0438008547840582,0.1069704547330136,2.0
minSoilDepthFrac_forest,qr,0.1658221370796017,0.5340208583693128,0.3925356683714875,0.1171190635087688,0.5533391720082861,0.0700833784967037,0.5533391720082861,2.0
tas,evap-total,0.504268744473706,0.4857708325814981,0.4776989691372248,0.1408333228593123,0.3823084570877526,0.0446855936723363,0.3823084570877526,2.0
pr,evap-total,0.8761202146339191,0.8945641001823961,0.9401259291474062,0.2558370893929917,0.650574530917769,0.0168652318127833,0.650574530917769,2.0
rootFraction1_forest,potevap,-0.4132967955173527,-0.4391957688347643,0.5367812386365092,0.179763602360697,0.3515004734965246,0.0660164630492343,0.3515004734965246,2.0
tasmin,potevap,0.844748266736761,0.8832921355376737,0.9328785497607734,0.2372610835672622,0.6206904353462193,0.0226654356961735,0.6206904353462193,2.0
tasmax,evap-total,0.5088777191062901,0.4836543846908773,0.5114661377200429,0.1479971719030648,0.3850127224833868,0.0362089078124466,0.3850127224833868,2.0
