input,output,pearson,spearman,mutual information (sklearn),normalized mutual information,MIC,MAS,MEV,MCN_general
ps,qtot,0.0124727107212963,0.0278220743399628,0.0315057092184085,0.0490599433337166,0.0588442249608598,0.0133524689244679,0.0588442249608598,2.0
minSoilDepthFrac_forest,qtot,-0.0845006980793047,-0.0132821453456622,0.3144115378998311,0.1315538604897513,0.371377178694266,0.2259713135921085,0.371377178694266,2.584962500721156
tasmax,potevap,0.7535641184315562,0.7419542445469632,0.5655979666147104,0.1606062602573645,0.4028615223931685,0.0341379080832575,0.4028615223931685,2.0
tasmin,qr,0.204169931355964,0.1967467399612132,0.0448042185285491,0.0483359433318151,0.0852101632036199,0.013335729800118,0.0852101632036199,2.0
kc_forest,potevap,-0.3500675261630806,-0.3735763722969083,0.2199342457184201,0.0914369476672371,0.2448351427342529,0.1192407136192497,0.2448351427342529,2.0
tas,qr,0.1056302312570951,0.080649501282251,0.0489756570872499,0.0450738034405242,0.0696551162567837,0.0122770037368831,0.0696551162567837,2.0
pr,qr,0.7029089086248639,0.7210240840740898,0.5388444481028127,0.1747386472052157,0.5221620506883279,0.0714777694632173,0.5221620506883279,2.0
interceptcap_forest,qtot,0.4572581583833869,0.5786602445944076,0.300684023716391,0.1290289081883257,0.3478206803909173,0.0250158139561029,0.3478206803909173,2.0
ps,evap-total,0.0142020183498583,0.0536080552613981,0.0904658450514341,0.0695755877558541,0.0723286332344637,0.0128374748897749,0.0723286332344637,2.0
minSoilDepthFrac_forest,evap-total,-0.0841619103538583,-0.0401915304937766,0.4373889717090398,0.1732852496273728,0.4392520988449009,0.2325216856281442,0.4392520988449009,2.584962500721156
tasmax,qr,0.0642198569540411,0.0487701614557955,0.0407255613602046,0.0437707920965022,0.0705837388426225,0.0152977956203843,0.0705837388426225,2.0
rootFraction1_forest,qtot,0.3151542378137058,0.4392995949698579,0.2902397520155846,0.1154988854763853,0.3758331912033543,0.1856183144266973,0.3758331912033543,2.0
kc_forest,qr,0.2341864497269081,0.3560360430099249,0.1829555186588107,0.0667626334173589,0.2610778381125613,0.1165234174740909,0.2610778381125613,2.0
tasmin,qtot,0.2217316196725076,0.1883301547831031,0.0926673088703635,0.0587527163199128,0.1032747037018231,0.0196823444646102,0.1032747037018231,2.0
tas,qtot,0.0970392482819987,0.0291894197207868,0.0891847032651487,0.0597286273059704,0.0797720619714073,0.0106237807599897,0.0797720619714073,2.0
ps,potevap,0.1922778426402815,0.0739151305016221,0.1802875678142097,0.0793959074689655,0.1517192525703448,0.0746370813184583,0.1517192525703448,2.0
minSoilDepthFrac_forest,potevap,0.1552918684800882,0.1204907856709448,0.226141303004387,0.1132330036402153,0.2434874823978681,0.1525548968999944,0.2434874823978681,2.0
pr,qtot,0.8478588399249565,0.9051548455849444,0.9437055620506164,0.2475480457711281,0.7208891620434376,0.0154236398734511,0.7208891620434376,2.0
interceptcap_forest,evap-total,0.7243087430844537,0.7099143810659897,0.5187686571037604,0.1819985890850358,0.5136728245682473,0.0660316152954947,0.5136728245682473,2.0
tasmax,qtot,0.0300885959831383,-0.0348097273918687,0.078775363209087,0.0563723015636823,0.0724878082633866,0.0091707781689701,0.0724878082633866,2.0
rootFraction1_forest,evap-total,0.4263728467995465,0.5082026124964617,0.4560594677962299,0.1592199764494662,0.4448131125881011,0.1687003985547114,0.4448131125881011,2.584962500721156
kc_forest,qtot,0.2909079977663851,0.4278206076961549,0.2782475100274055,0.0909673755669938,0.3267115413741173,0.1140453657326559,0.3267115413741173,2.0
tasmin,evap-total,0.187555067364625,0.1584140079744265,0.1788765385858708,0.0910147557494154,0.124861917961735,0.0515329461850991,0.124861917961735,2.0
interceptcap_forest,potevap,-0.4163516706954814,-0.4741343663538198,0.2116034758357194,0.0981529136106941,0.2187580678876126,0.0284546063045512,0.2187580678876126,2.0
ps,qr,0.0239694145833342,0.1090625024687705,0.0336650729185716,0.040784517919659,0.0623870052346463,0.0063775230305855,0.0623870052346463,2.0
minSoilDepthFrac_forest,qr,-0.0699574912129218,-0.0087921251909253,0.2339732185569474,0.1116268363646861,0.3029484301140068,0.1838150810350106,0.3029484301140068,2.584962500721156
tas,evap-total,0.0298782521646905,-0.0181236715577083,0.1953635167936678,0.0943342343053077,0.1169725972247468,0.0506597869972445,0.1169725972247468,2.0
pr,evap-total,0.9213624310457644,0.9480371078425344,1.5641082800593216,0.3687129602999501,0.8011037553528905,0.01121539084747,0.8011037553528905,2.0
rootFraction1_forest,potevap,-0.4732075900907995,-0.5448891705452805,0.2974361033579518,0.1245695800130708,0.3248456689676897,0.0477735689826177,0.3248456689676897,2.0
tasmin,potevap,0.518808023215815,0.5033019894795179,0.3104122144990375,0.1097532149980981,0.2541748206165757,0.0375177451482343,0.2541748206165757,2.0
tasmax,evap-total,-0.0356927169865894,-0.0793017413424149,0.1755252762296892,0.0880202315915093,0.0909227513235876,0.0155244845347723,0.0909227513235876,2.0
tas,potevap,0.6832102582843067,0.6777478999056095,0.4742902383647767,0.1421922665616647,0.3548760145018163,0.0326586387807668,0.3548760145018163,2.0
kc_forest,evap-total,0.5050199024891536,0.5489980291624929,0.4820635616313531,0.1386143569133726,0.4531355705989902,0.1434315744850714,0.4531355705989902,2.584962500721156
pr,potevap,-0.4244829819119289,-0.4681141727415896,0.2330312239420058,0.0922988282503761,0.2103949644779198,0.0100781079315226,0.2103949644779198,2.0
interceptcap_forest,qr,0.4128217934533136,0.5008512782652056,0.2206704732045317,0.1136208977770512,0.2799061158317641,0.0346608663368839,0.2799061158317641,2.0
rootFraction1_forest,qr,0.2763450464126232,0.3648139813849452,0.2369630265296303,0.1021442571441881,0.3041218233726371,0.1461011855713136,0.3041218233726371,2.0
sfcwind,potevap,0.4937945287693283,0.5622017343822802,0.3461255274443964,0.1187299452769313,0.2881739461165372,0.0146332514677846,0.2881739461165372,2.0
huss,evap-total,0.7557548853849063,0.7540354481624523,0.4996142637231067,0.1592382944115653,0.431549215884687,0.0163106964205472,0.431549215884687,2.0
rlds,qr,0.4165293188845754,0.4633950078262033,0.1636935182208398,0.0759866851391664,0.2072624773348529,0.0182702290442513,0.2072624773348529,2.0
hurs,qr,0.4843246206357433,0.5565615955101235,0.2501707630706828,0.0979513635792823,0.2968781924401299,0.0152946970142385,0.2968781924401299,2.0
huss,potevap,-0.1874360251773519,-0.208597747698268,0.1979866103792149,0.0922466467873128,0.1399617383733509,0.0601947258624693,0.1399617383733509,2.0
sfcwind,qr,-0.4255929537660448,-0.4337517399455597,0.1618274201078033,0.0749606553807034,0.2381386130325205,0.0601404398333847,0.2381386130325205,2.0
rsds,evap-total,-0.5768391607178784,-0.6709906548588953,0.4533455207195738,0.1415358903274008,0.3760339403597865,0.0292672503911283,0.3760339403597865,2.0
rsds,potevap,0.7371742771804852,0.7441574764673409,0.5864391539657952,0.1626498818081896,0.4497656972870952,0.0403260230199106,0.4497656972870952,2.0
huss,qr,0.5344548081229508,0.5808095425944211,0.271567492606775,0.1102837459835623,0.3117057507095345,0.0224602717615613,0.3117057507095345,2.0
rlds,qtot,0.4802575641381542,0.4922939296481436,0.2159998162830394,0.0885528161038032,0.2380610019333003,0.0167140956612409,0.2380610019333003,2.0
hurs,qtot,0.5922992492482987,0.7029453788131208,0.3810139926636813,0.1256365741249971,0.4177784866138171,0.0339512598074562,0.4177784866138171,2.0
sfcwind,qtot,-0.5130835175404052,-0.5989021469342813,0.2490527641372031,0.0946848322481972,0.3015348225467225,0.0056370197939307,0.3015348225467225,2.0
rsds,qr,-0.3346627368574116,-0.4721478636225845,0.1956137597038161,0.0827386900365956,0.2347120255923533,0.0298879650600367,0.2347120255923533,2.0
