input,output,pearson,spearman,mutual information (sklearn),normalized mutual information,MIC,MAS,MEV,MCN_general
minSoilDepthFrac_forest,evap-total,0.1213960311535526,0.0792313354862663,0.4904157958316242,0.17382389477287,0.4247168376363588,0.2053235102211409,0.4247168376363588,2.584962500721156
pr,qr,0.8034483886206936,0.682367243039249,0.5390338977785865,0.1804669739148547,0.4689352738096688,0.0477430703434709,0.4689352738096688,2.0
pr,potevap,0.0991355610213133,0.0808480580640082,0.4138346391465273,0.112376669219251,0.2214511548942901,0.0342470576431797,0.2214511548942901,2.0
tasmax,potevap,0.9098280824725552,0.942532008579467,1.371207240902418,0.280178609008532,0.8563716183980321,0.0283275442917254,0.8563716183980321,2.584962500721156
tasmax,qr,0.2734786856145704,0.3869484479829149,0.2074508765910003,0.0630169099034407,0.204914586238906,0.0410379977280079,0.204914586238906,2.0
minSoilDepthFrac_forest,qtot,0.0490710795503409,-0.0520667006246351,0.2891773806598188,0.1022726569595586,0.2502908877867239,0.1276513240664805,0.2502908877867239,2.584962500721156
pr,evap-total,0.8512897095785058,0.8702174296161328,1.0481776424831537,0.2482534721698817,0.608115373853981,0.006659841372519,0.608115373853981,2.0
tasmax,evap-total,0.5408773963410877,0.5140601663980011,0.7098027998788359,0.1702506599187515,0.3703223052146059,0.0341748777482258,0.3471241614987226,2.0
pr,qtot,0.9024989751544212,0.8548781082122967,0.931748158705826,0.2432591462752865,0.5318539375392283,0.0262520278379462,0.5318539375392283,2.0
tasmax,qtot,0.1939839850526039,0.0586157557769919,0.2953134069906236,0.0815262087078126,0.1931997876009963,0.0908036574281601,0.1931997876009963,2.0
tas,qr,0.3014237191701155,0.4180193002087232,0.2139535942754786,0.0638426951090264,0.2067411327758737,0.0279102411513254,0.2067411327758737,2.0
tas,potevap,0.894550027213782,0.9232019700078246,1.214814154078315,0.2535833247863396,0.8116962788757037,0.0443203254571655,0.8116962788757037,2.584962500721156
tas,evap-total,0.561558295000737,0.5379872099958002,0.6903117782764108,0.1653904640387587,0.3597231263882626,0.0183111469100605,0.3327111641341674,2.0
tas,qtot,0.2236421120136241,0.1017825718695326,0.2904422953839267,0.0806635406267134,0.1957999281213812,0.0799409705781957,0.1957999281213812,2.0
minSoilDepthFrac_forest,qr,0.1585004157727453,0.3826850199697447,0.4006204895973395,0.1133488133977193,0.420552007677518,0.0880243739159009,0.420552007677518,2.0
minSoilDepthFrac_forest,potevap,0.1504113993472201,0.1805446725182344,0.5333299040877195,0.1717477617380746,0.3362930961440973,0.0376920482668996,0.3362930961440973,2.0
ps,qr,0.1577657427594725,0.1862585414663275,0.0523349789689877,0.034734937913609,0.0659473918634119,0.0105955343856797,0.0659473918634119,2.0
ps,potevap,0.0933030708236613,-0.0166128709376498,0.2091894099683919,0.0857663518816898,0.1099916044056979,0.0393025097398544,0.1099916044056979,2.0
rlds,evap-total,0.7296555993800321,0.6804175734824739,0.7605887475639284,0.1847963323655499,0.4036208910430197,0.0613348142195108,0.4036208910430197,2.0
tasmin,evap-total,0.6016950033065407,0.5904821266509003,0.6428480331605302,0.1593995916426213,0.3517562295383243,0.0135774486858779,0.3319267508892755,2.0
tasmin,qtot,0.2692357504435273,0.174734933417101,0.2901918399392391,0.0808619264329656,0.1971672261986661,0.0689440944976299,0.1971672261986661,2.0
ps,evap-total,0.1819987054065107,0.1623084907505861,0.1298591605062959,0.0705518404059551,0.079717365131047,0.0098563130147434,0.079717365131047,2.0
rlds,qtot,0.3854162794690583,0.2855133880335805,0.3374437734161253,0.0942134974961001,0.2046787010602811,0.0372583235796716,0.1950411668497013,2.0
ps,qtot,0.1357193224358859,0.205717005245585,0.0812094837696051,0.0393485693634444,0.0619232748223581,0.0134635806299713,0.0619232748223581,2.0
tasmin,qr,0.3438942089562069,0.469091251331008,0.2231523158553647,0.0694092061115302,0.2054260399692279,0.0210562691984923,0.2054260399692279,2.0
tasmin,potevap,0.8643707457752844,0.8862159363269331,1.0505942473913787,0.2274829720664834,0.76156665195345,0.0627796486490073,0.76156665195345,2.0
rlds,qr,0.4413234684544461,0.5325679329986271,0.3054291341645561,0.0914015682192698,0.2441604683268969,0.0441871063547644,0.2441604683268969,2.0
rlds,potevap,0.7668114598721628,0.8244125146998487,0.929454257466026,0.2142594426731714,0.6421612665103295,0.0268471946862299,0.6421612665103295,2.0
sfcwind,qtot,-0.3162466202695798,-0.3918741298279135,0.1942199226434606,0.0655163082057503,0.1444396751974789,0.027208848286094,0.1444396751974789,2.0
rsds,potevap,0.9097052096519456,0.9117423591616692,1.2340516500497687,0.2640366020651042,0.8060204371037686,0.0391090371360228,0.8060204371037686,2.0
rsds,evap-total,0.2209227724278911,0.1998657795829018,0.5080247380019056,0.1433177646780633,0.3006463633755775,0.1026737986456245,0.3006463633755775,2.0
sfcwind,qr,-0.2750610880004544,-0.2563745235224967,0.1309294091782993,0.0566172374275424,0.1170910929391034,0.0220207140862229,0.1170910929391034,2.0
sfcwind,potevap,-0.1084448642144064,-0.1022054444034448,0.3736662319479835,0.111954233656129,0.1700520567761776,0.0399095898371687,0.157235973668968,2.0
sfcwind,evap-total,-0.4852177557825813,-0.4930980177011685,0.31696100255341,0.1024047849165318,0.186316147745756,0.0187168436458968,0.186316147745756,2.0
rsds,qtot,-0.0684086785638276,-0.2628751068915322,0.3500197440858459,0.0974224740395353,0.2308285027049051,0.0396900305326897,0.2308285027049051,2.0
rsds,qr,0.0283397720159463,0.1062588911470272,0.1885749290174887,0.0643103224603061,0.1382133167111895,0.0313257257191556,0.1382133167111895,2.0
hurs,potevap,-0.6228277099272993,-0.4898660682014758,0.5490114149314751,0.159237877821738,0.3698477441590077,0.0445698563860271,0.3698477441590077,2.0
huss,qtot,0.4820550950563206,0.3290600751338612,0.3367096339117053,0.0987041553150072,0.2104523244142618,0.0279993637207482,0.2104523244142618,2.0
huss,qr,0.524578162087056,0.5490195594941526,0.32153582896375,0.1002688313017297,0.2424060415477865,0.0378507209056061,0.2424060415477865,2.0
hurs,evap-total,0.4413616531805561,0.3745001142290362,0.3753795801305033,0.1162918688915801,0.2252064683463674,0.0242225540830477,0.2252064683463674,2.0
hurs,qtot,0.4575997770344854,0.6679560438760838,0.453594245418933,0.1176857162029811,0.3426624498627671,0.0376595244128919,0.3426624498627671,2.0
huss,potevap,0.5977361665157029,0.7831302975971209,0.9980902380804686,0.234133736512986,0.585568913418568,0.0374243030945899,0.585568913418568,2.0
huss,evap-total,0.8412461578153436,0.7659344020818162,0.9089780410165398,0.2203839001264895,0.4659184443755901,0.0499310502439383,0.4659184443755901,2.0
hurs,qr,0.372806767572001,0.3492232070541461,0.249187643598681,0.0785856146710115,0.2052662044151725,0.0223738507140816,0.2052662044151725,2.0
interceptcap_forest,qtot,0.5124638656203212,0.4824433100660236,0.2625115079977824,0.0983160848514622,0.176719480923347,0.0128248571332153,0.1718242125198377,2.0
interceptcap_forest,evap-total,0.836629457117248,0.8335676771206774,0.7425517090086284,0.2120942535638837,0.5701182635449794,0.0496067023685192,0.5701182635449794,2.0
interceptcap_forest,qr,0.5493826325623709,0.580125526278156,0.2944225097405404,0.1128208004024598,0.2761225116646641,0.0223663064183704,0.2761225116646641,2.0
interceptcap_forest,potevap,0.2474872864164348,0.3464928892295281,0.5825218005735202,0.1683074156928306,0.3325563481734715,0.0518956259097354,0.3325563481734715,2.0
kc_forest,potevap,0.5671018348854182,0.6156028734498825,0.8023526691585126,0.1898612005577265,0.5544445678761839,0.0926619652896205,0.5544445678761839,2.0
kc_forest,qtot,0.2691431279183451,0.2140497768303945,0.3253891232752224,0.0835696903293758,0.206196671347369,0.0962512405185643,0.206196671347369,2.0
kc_forest,evap-total,0.6329613211682422,0.6533193702209494,0.7069728810520957,0.1694970177340608,0.4819567714242802,0.1440594891951017,0.4819567714242802,2.0
kc_forest,qr,0.3496360339635651,0.5168966675012666,0.2808943526558547,0.075419853512588,0.2664251711263453,0.0795532717240485,0.2664251711263453,2.0
rootFraction1_forest,qtot,0.1890348016500204,0.3183117927334955,0.2953321262048618,0.0993841097592173,0.2171702146565936,0.0460316773112478,0.2171702146565936,2.0
rootFraction1_forest,evap-total,0.1665162604805147,0.245462902301403,0.6196616637468768,0.1890124449603758,0.4607604684226014,0.0778777410581215,0.4607604684226014,2.584962500721156
rootFraction1_forest,qr,0.1210939231677931,0.0527323949417577,0.2325586532321315,0.0872104695706951,0.2128981051207054,0.1108501352340822,0.2128981051207054,2.0
rootFraction1_forest,potevap,-0.4509281425846635,-0.3427802789821274,0.7818156835340488,0.206641440076809,0.5113871381048753,0.1003316050025836,0.5113871381048753,2.0
rootFraction2_forest,potevap,0.6686537449496569,0.6725129270756482,0.7734713756327762,0.2048152019835881,0.510890093978718,0.032611826170385,0.510890093978718,2.0
rootFraction2_forest,qtot,0.0441548026517632,0.0401216800798401,0.2957300896218502,0.0994556359012146,0.2229126389779941,0.1066650455061481,0.2229126389779941,2.584962500721156
rootFraction2_forest,qr,0.0867571484073187,0.2694430850365876,0.2467067219284144,0.0907028668164851,0.215418326153899,0.0904036514642168,0.215418326153899,2.0
rootFraction2_forest,evap-total,0.3376415323983088,0.4942400354863412,0.6224275839652496,0.1903419281777906,0.4621025741174937,0.0689833932582167,0.4621025741174937,2.0
maxRootDepth_forest,evap-total,,,8.966028371359958e-05,0.0,0.0,0.0,0.0,2.0
maxRootDepth_forest,potevap,,,0.0,0.0,0.0,0.0,0.0,2.0
maxRootDepth_forest,qr,,,0.0,0.0,0.0,0.0,0.0,2.0
maxRootDepth_forest,qtot,,,0.0001678049026105,0.0,0.0,0.0,0.0,2.0
minSoilDepthFrac_grassland,potevap,0.1504113993472201,0.1805446725182344,0.5331939717584202,0.1717477617380746,0.3362930961440973,0.0376920482668996,0.3362930961440973,2.0
minSoilDepthFrac_grassland,evap-total,0.1213960311535526,0.0792313354862663,0.4907096747086763,0.17382389477287,0.4247168376363588,0.2053235102211409,0.4247168376363588,2.584962500721156
minSoilDepthFrac_grassland,qr,0.1585004157727453,0.3826850199697447,0.3988124659631236,0.1133488133977193,0.420552007677518,0.0880243739159009,0.420552007677518,2.0
minSoilDepthFrac_grassland,qtot,0.0490710795503409,-0.0520667006246351,0.2886706195742468,0.1022726569595586,0.2502908877867239,0.1276513240664805,0.2502908877867239,2.584962500721156
interceptcap_grassland,potevap,0.2474872864164348,0.3464928892295281,0.5825095518992649,0.1683074156928306,0.3325563481734715,0.0518956259097354,0.3325563481734715,2.0
interceptcap_grassland,qtot,0.5124638656203212,0.4824433100660236,0.2629274957884941,0.0983160848514622,0.176719480923347,0.0128248571332153,0.1718242125198377,2.0
interceptcap_grassland,evap-total,0.836629457117248,0.8335676771206774,0.7423253825267935,0.2120942535638837,0.5701182635449794,0.0496067023685192,0.5701182635449794,2.0
interceptcap_grassland,qr,0.5493826325623709,0.580125526278156,0.2957193594103211,0.1128208004024598,0.2761225116646641,0.0223663064183704,0.2761225116646641,2.0
kc_grassland,evap-total,0.6329613211682422,0.6533193702209494,0.7068011303451947,0.1694970177340608,0.4819567714242802,0.1440594891951017,0.4819567714242802,2.0
kc_grassland,qr,0.3496360339635651,0.5168966675012666,0.2808264982726332,0.075419853512588,0.2664251711263453,0.0795532717240485,0.2664251711263453,2.0
kc_grassland,potevap,0.5671018348854182,0.6156028734498825,0.8025705298704358,0.1898612005577265,0.5544445678761839,0.0926619652896205,0.5544445678761839,2.0
kc_grassland,qtot,0.2691431279183451,0.2140497768303945,0.3256538733394585,0.0835696903293758,0.206196671347369,0.0962512405185643,0.206196671347369,2.0
rootFraction1_grassland,evap-total,0.1665162604805147,0.245462902301403,0.6197561013754456,0.1890124449603758,0.4607604684226014,0.0778777410581215,0.4607604684226014,2.584962500721156
rootFraction1_grassland,qr,0.1210939231677931,0.0527323949417577,0.2335822576332038,0.0872104695706951,0.2128981051207054,0.1108501352340822,0.2128981051207054,2.0
rootFraction1_grassland,potevap,-0.4509281425846635,-0.3427802789821274,0.7817770705752167,0.206641440076809,0.5113871381048753,0.1003316050025836,0.5113871381048753,2.0
rootFraction1_grassland,qtot,0.1890348016500204,0.3183117927334955,0.2959441005268415,0.0993841097592173,0.2171702146565936,0.0460316773112478,0.2171702146565936,2.0
rootFraction2_grassland,qtot,0.0441548026517632,0.0401216800798401,0.2956170935920301,0.0994556359012146,0.2229126389779941,0.1066650455061481,0.2229126389779941,2.584962500721156
rootFraction2_grassland,evap-total,0.3376415323983088,0.4942400354863412,0.622250769064066,0.1903419281777906,0.4621025741174937,0.0689833932582167,0.4621025741174937,2.0
rootFraction2_grassland,qr,0.0867571484073187,0.2694430850365876,0.2436121566564955,0.0907028668164851,0.215418326153899,0.0904036514642168,0.215418326153899,2.0
rootFraction2_grassland,potevap,0.6686537449496569,0.6725129270756482,0.7734813969100074,0.2048152019835881,0.510890093978718,0.032611826170385,0.510890093978718,2.0
maxRootDepth_grassland,qtot,,,0.0,0.0,0.0,0.0,0.0,2.0
maxRootDepth_grassland,evap-total,,,0.0,0.0,0.0,0.0,0.0,2.0
maxRootDepth_grassland,qr,,,0.000480819992108,0.0,0.0,0.0,0.0,2.0
maxRootDepth_grassland,potevap,,,0.0,0.0,0.0,0.0,0.0,2.0
minSoilDepthFrac_irrNonPaddy,qtot,0.0490710795503409,-0.0520667006246351,0.289352122504761,0.1022726569595586,0.2502908877867239,0.1276513240664805,0.2502908877867239,2.584962500721156
minSoilDepthFrac_irrNonPaddy,evap-total,0.1213960311535526,0.0792313354862663,0.4906004570006104,0.17382389477287,0.4247168376363588,0.2053235102211409,0.4247168376363588,2.584962500721156
minSoilDepthFrac_irrNonPaddy,qr,0.1585004157727453,0.3826850199697447,0.4014514985207107,0.1133488133977193,0.420552007677518,0.0880243739159009,0.420552007677518,2.0
minSoilDepthFrac_irrNonPaddy,potevap,0.1504113993472201,0.1805446725182344,0.5333980525006972,0.1717477617380746,0.3362930961440973,0.0376920482668996,0.3362930961440973,2.0
interceptcap_irrNonPaddy,potevap,0.2474872864164348,0.3464928892295281,0.5826000190911769,0.1683074156928306,0.3325563481734715,0.0518956259097354,0.3325563481734715,2.0
interceptcap_irrNonPaddy,qtot,0.5124638656203212,0.4824433100660236,0.2627752071697804,0.0983160848514622,0.176719480923347,0.0128248571332153,0.1718242125198377,2.0
interceptcap_irrNonPaddy,evap-total,0.836629457117248,0.8335676771206774,0.742259967453351,0.2120942535638837,0.5701182635449794,0.0496067023685192,0.5701182635449794,2.0
interceptcap_irrNonPaddy,qr,0.5493826325623709,0.580125526278156,0.2921757897561434,0.1128208004024598,0.2761225116646641,0.0223663064183704,0.2761225116646641,2.0
