input,output,pearson,spearman,mutual information (sklearn),normalized mutual information,MIC,MAS,MEV,MCN_general
ps,qtot,-0.1993814716042092,-0.199209228846315,0.0821519068920881,0.0619906108711242,0.0987088151359807,0.0048273999830073,0.0987088151359807,2.0
minSoilDepthFrac_forest,qtot,0.0141476406039308,-0.0283378860140037,0.1041937873563951,0.0797567694909928,0.1157761356954825,0.0572101498387471,0.1157761356954825,2.0
tasmax,potevap,0.8886484546578945,0.921515723266311,1.1923224269519317,0.2921988348071807,0.6782940224024998,0.0491647197258047,0.6782940224024998,2.0
tasmin,qr,0.4338162587775732,0.6727581520070354,0.3917649256780233,0.1299339215740466,0.4600792144662152,0.0525064411024823,0.4600792144662152,2.0
kc_forest,potevap,0.5710612857030097,0.6244864967744993,0.7021674442004313,0.201522778027081,0.5450315069473506,0.1300042070169642,0.5450315069473506,2.0
tas,qr,0.4144755064239407,0.6672962832936803,0.3952598997410703,0.1307664186659631,0.4625897046368171,0.058886475176152,0.4625897046368171,2.0
pr,qr,0.6537942891742623,0.6098049832804768,0.4043032384640579,0.1606271358410549,0.3675323163426615,0.0475353507351763,0.3675323163426615,2.0
interceptcap_forest,qtot,0.1575988601533494,0.1022551841744708,0.1141661453847486,0.0727315018242504,0.1131379003242132,0.0373456594540878,0.1131379003242132,2.0
ps,evap-total,0.0547837025283931,0.0292441528972297,0.1272418661524286,0.0822760812379751,0.1077632211232849,0.0153693044063453,0.1077632211232849,2.0
minSoilDepthFrac_forest,evap-total,0.4843730725408157,0.4943311959982727,0.5071272433115186,0.2100093603206124,0.5122642407810902,0.0580221065705898,0.5122642407810902,2.0
tasmax,qr,0.3980153325937181,0.6551935999997804,0.3861449165532171,0.1293667200001856,0.4537303642638281,0.0624940297089218,0.4537303642638281,2.0
rootFraction1_forest,qtot,0.1436779222104643,0.1758809141725657,0.1377200722040923,0.0795384297743893,0.1252936614560308,0.0342266111588609,0.1252936614560308,2.0
kc_forest,qr,0.272162041973065,0.4868862579637394,0.2574531118359378,0.1152037842262792,0.3728332279232023,0.093198413636212,0.3728332279232023,2.0
tasmin,qtot,0.2571985084252568,0.2782568835685423,0.2279800217771361,0.0891669204999931,0.1780396679664371,0.0591490140806351,0.1780396679664371,2.0
tas,qtot,0.2397933325546595,0.2660644566364444,0.2800064426804622,0.0951900240709522,0.1812455622729817,0.0570943571969701,0.1812455622729817,2.0
ps,potevap,-0.0101220409286919,0.0591648967412751,0.1352987013231681,0.0792232090062945,0.0972279141749225,0.008283069605948,0.0972279141749225,2.0
minSoilDepthFrac_forest,potevap,0.4084780657649353,0.4645496235913174,0.5049491622079585,0.1997828387917764,0.4340040104038866,0.023777701305328,0.4340040104038866,2.0
pr,qtot,0.882749741955491,0.7034862497488107,0.8003767078708597,0.241527480670039,0.4360391127862936,0.030570212485312,0.4360391127862936,2.0
interceptcap_forest,evap-total,0.7173610853580616,0.8379848900524327,0.8460856116740754,0.250683510645289,0.6949331712320924,0.0533745696875822,0.6949331712320924,2.0
tasmax,qtot,0.2337689246524815,0.2672761303124298,0.2833922277984033,0.0980664401213319,0.1887288468666038,0.0629128988050513,0.1887288468666038,2.0
rootFraction1_forest,evap-total,0.4143109595758126,0.0917734492006514,0.7050236044146732,0.2313585107620068,0.585654125225341,0.1134738451571057,0.585654125225341,2.584962500721156
kc_forest,qtot,0.0530240615741245,-0.011750300148807,0.1464409639840242,0.080124605185488,0.1538347547924026,0.0845103277550744,0.1538347547924026,2.584962500721156
tasmin,evap-total,0.8709006476434393,0.8903492210567191,0.9270229097286248,0.2453479965085381,0.7043644892416073,0.0239321283696376,0.7043644892416073,2.0
interceptcap_forest,potevap,0.5498763525402407,0.7528437349608748,0.7156056425203134,0.215909786016051,0.5642933398572739,0.0563318192403103,0.5642933398572739,2.0
ps,qr,0.0728448252958409,0.0944587630815421,0.0588410527392255,0.0453687452537282,0.0925358941240891,0.0237087030202154,0.0925358941240891,2.0
minSoilDepthFrac_forest,qr,0.3160499790434295,0.6720764319093652,0.5796911046689859,0.215379961471931,0.78818279718485,0.0382392497586078,0.78818279718485,2.584962500721156
tas,evap-total,0.8937504465831476,0.9123285376504032,1.060360666284569,0.2712549507940848,0.7417359044555242,0.0306807162683809,0.7417359044555242,2.0
pr,evap-total,0.5955355245577542,0.7990607492023133,0.8219475314059155,0.2417937964093165,0.5641284457072046,0.0577518130623837,0.5641284457072046,2.0
rootFraction1_forest,potevap,0.3265046714676227,0.0474070347872242,0.6529776341188005,0.2144383972073271,0.5136235494669462,0.101607381566399,0.5136235494669462,2.584962500721156
tasmin,potevap,0.8258635056857231,0.8670779467659075,0.8847394432934221,0.234034914622829,0.5743327917645801,0.0178205190303214,0.5743327917645801,2.0
tasmax,evap-total,0.9136046256628304,0.9300929796986348,1.1809858846894563,0.2960165765943872,0.765444852831082,0.0167602356460094,0.765444852831082,2.0
tas,potevap,0.8541052362956801,0.894772227483474,1.0432103431691662,0.2631427984617154,0.629732412319461,0.0431133348287732,0.629732412319461,2.0
kc_forest,evap-total,0.67028929103116,0.6711312620460481,0.8262610204873138,0.2304704576313936,0.6715737437540651,0.1523148330013468,0.6715737437540651,2.584962500721156
pr,potevap,0.5026632669202022,0.7278120263792065,0.6074364247403672,0.1897647697635774,0.4386309218963865,0.0405933814850014,0.4386309218963865,2.0
interceptcap_forest,qr,0.3554804856585043,0.590068481406043,0.3002549602286368,0.1306351476335878,0.373740644096288,0.0230581737366535,0.373740644096288,2.0
rootFraction1_forest,qr,0.1751310487291721,-0.0175375551012842,0.2524625916674639,0.1170778983750085,0.3291955565046484,0.1801365013574811,0.3291955565046484,2.0
sfcwind,potevap,-0.1207125507317477,-0.1072536277752245,0.2757663518646449,0.1236458546770483,0.2106227038246984,0.08827364225245,0.2106227038246984,2.0
huss,evap-total,0.8961471588483777,0.923704201840068,1.2179969233268793,0.3142482975115983,0.7527291801260821,0.0209668134767587,0.7527291801260821,2.0
rlds,qr,0.420222726273925,0.6724596156571433,0.3967768011204988,0.1320393234829532,0.4679130459362187,0.0584936855015718,0.4679130459362187,2.0
hurs,qr,0.1263200547230707,0.0171849819392659,0.0597569923612963,0.0445335481450953,0.0668007989404903,0.0161484192829455,0.0668007989404903,2.0
huss,potevap,0.905020442777913,0.915009556412062,1.1131056264543746,0.2865867238951379,0.6699858673572868,0.049233551113464,0.6699858673572868,2.0
sfcwind,qr,-0.0555807245685111,-0.1124548671360451,0.171178456103715,0.0837883812712317,0.2025593339262484,0.0919577272447457,0.2025593339262484,2.0
rsds,evap-total,0.6222036598484804,0.5977656396905437,0.5110705769530606,0.1637918715160255,0.3793625271412535,0.0442585794309667,0.3793625271412535,2.0
rsds,potevap,0.7934503357289847,0.7265206586806479,0.8284887355120718,0.225423120167698,0.4696185097787644,0.0484114464818338,0.4696185097787644,2.0
huss,qr,0.3876637079589038,0.6478164391068371,0.3887819684634488,0.1346360823813654,0.4425265246769867,0.0563650804967068,0.4425265246769867,2.0
rlds,qtot,0.2284300212356693,0.2381315989444432,0.2275525882760734,0.0877947248220969,0.1656587565089293,0.0476941535666076,0.1656587565089293,2.0
hurs,qtot,0.1321310462399774,0.0259731911960821,0.0621860094479798,0.0525346731217288,0.0742561330654085,0.0104756746573296,0.0742561330654085,2.0
sfcwind,qtot,-0.1254078005163577,-0.022799020249306,0.1079356713051264,0.0682925725534428,0.0966154182582874,0.0229385755253808,0.0966154182582874,2.0
rsds,qr,0.1590749094674907,0.3274039807143387,0.1343311653124432,0.0663766620002511,0.1562347463070132,0.0231120970747461,0.1562347463070132,2.0
hurs,evap-total,-0.2449966602551961,-0.2046518119380003,0.1837250656253664,0.0957302124123565,0.1427276341054992,0.0360083384004651,0.1427276341054992,2.0
huss,qtot,0.2221043028635779,0.2653566967143699,0.2766336644912526,0.1000513081708922,0.1860896449306016,0.0782945653249202,0.1860896449306016,2.0
rlds,evap-total,0.8540588388081624,0.8779626646160512,0.8904380511043257,0.2396307105044723,0.6774496652182094,0.021340243777853,0.6774496652182094,2.0
sfcwind,evap-total,-0.1975143591861523,-0.1823907927244098,0.2894962216092791,0.1361988077206442,0.2937070371153739,0.1084582158531992,0.2937070371153739,2.0
hurs,potevap,-0.418140087058561,-0.3224359952072279,0.238682558333978,0.1047835559453028,0.1706384567748245,0.0280390929245524,0.1706384567748245,2.0
rlds,potevap,0.7993188459262264,0.8443874090478785,0.8478908725112806,0.2319054025038999,0.5455935698728619,0.0273634269600342,0.5455935698728619,2.0
rsds,qtot,0.2086411514397848,0.3335573921095294,0.1510385745675595,0.0826731320357675,0.1545596998344519,0.0391689358534873,0.1545596998344519,2.0
