input,output,pearson,spearman,mutual information (sklearn),normalized mutual information,MIC,MAS,MEV,MCN_general
pr,qtot,0.8984830025591256,0.8382964080674017,0.8422100264535946,0.2648868761597826,0.5450773079355108,0.0272982093658702,0.5450773079355108,2.0
minSoilDepthFrac_forest,qtot,0.1121716482756044,0.137901549203897,0.0490435596966944,0.0654333034062998,0.0913155973194518,0.0169018596150449,0.0913155973194518,2.0
tasmax,potevap,0.8771839442793156,0.7360414335059989,0.8296825236130871,0.2472368814559595,0.6185970451292225,0.0411687718455635,0.6185970451292225,2.0
tasmax,qtot,0.1556683530408632,0.2109498956630706,0.1257258234595761,0.0823484723848059,0.1368481892671125,0.028879311530813,0.1368481892671125,2.0
tas,qr,0.2660965758482942,0.3482559060808602,0.154821334125879,0.0863109655270501,0.1985219935328675,0.0428434163102525,0.1985219935328675,2.0
pr,qr,0.7162535961593826,0.6642656928481775,0.4211172366428943,0.147786005933557,0.3631246808146544,0.0256223580056439,0.3631246808146544,2.0
tas,evap-total,0.6769066433307502,0.6366462634368744,0.4390084076765852,0.1579583998760483,0.3824845961575233,0.0377173540846812,0.3824845961575233,2.0
minSoilDepthFrac_forest,qr,0.2289964306056585,0.263733415768711,0.0799016216000572,0.0743793711624546,0.1142994165014621,0.012759042451106,0.1142994165014621,2.0
pr,evap-total,0.5949083274536495,0.6963126612494018,0.4461324317977464,0.1594319237018651,0.4066361510698126,0.0210826758757773,0.4066361510698126,2.0
minSoilDepthFrac_forest,evap-total,0.4121581083028422,0.427247388186295,0.2377248307052104,0.1349137595699046,0.2494272220532833,0.0144815786110973,0.2494272220532833,2.0
tasmax,qr,0.2348907227209891,0.2863203472246351,0.1711035519008463,0.0888460800042559,0.1999404596619015,0.0551775284198336,0.1999404596619015,2.0
tasmax,evap-total,0.6675041567910712,0.6027087650044244,0.4698215502321528,0.1638902043358578,0.3896057017529182,0.0345198434393238,0.3896057017529182,2.0
tas,potevap,0.8628902976839352,0.7417898835422363,0.7339373160581859,0.2283809817073606,0.5832435287329872,0.0206336147652402,0.5832435287329872,2.0
pr,potevap,0.2543091528084331,0.2671313451111631,0.2670631518134749,0.1137772249070601,0.1981280132118343,0.0213977769819171,0.1981280132118343,2.0
tas,qtot,0.1797230805352243,0.2928843609877115,0.1183552484975027,0.0806473327916345,0.1388068793746439,0.0169372181022222,0.1388068793746439,2.0
minSoilDepthFrac_forest,potevap,0.0216309086555257,0.0193663698977371,0.1547723861040193,0.1202923201469889,0.1498882264503947,0.0659809887728743,0.1498882264503947,2.0
ps,evap-total,0.1400916888425961,0.1243051119244401,0.100776591620562,0.0720005849135167,0.1149523845341602,0.0177807309541878,0.1149523845341602,2.0
ps,qtot,-0.0281795265450262,-0.0245065799001635,0.0441580882176069,0.0535930451043192,0.0924192818630096,0.0184847435637025,0.0924192818630096,2.0
tasmin,qr,0.3040533179182572,0.3981736545093033,0.1641232870918818,0.086402909445174,0.1935830486847103,0.0219692696149132,0.1935830486847103,2.0
tasmin,potevap,0.8195714511017855,0.6885802872763517,0.6803110061608901,0.2146734857728605,0.5499598998658777,0.0250348605304739,0.5499598998658777,2.0
tasmin,qtot,0.2030429530584099,0.3354129480026328,0.1405010221569664,0.0862027321243332,0.1646645708492656,0.0356145102101316,0.1646645708492656,2.0
rlds,qr,0.336908137093137,0.4342892051679098,0.1825697146505742,0.0904473157412209,0.2161610196736503,0.0228212894226324,0.2161610196736503,2.0
tasmin,evap-total,0.6945123802852541,0.6896093469398002,0.4526564993636359,0.1618598543482481,0.391559801714835,0.0218325446339592,0.391559801714835,2.0
ps,potevap,0.089993272812313,0.0444521518982474,0.1514428368570124,0.086019581800209,0.1243163596901164,0.0153855337090453,0.1243163596901164,2.0
rlds,potevap,0.7651712295714512,0.5886681483349504,0.6572287727061044,0.2086677727434685,0.5044498892324066,0.0170772099739431,0.5044498892324066,2.0
rlds,qtot,0.2425978283722748,0.3608249787388786,0.1380451036896968,0.084025405039607,0.165338792383468,0.0316327082962478,0.165338792383468,2.0
ps,qr,0.1475009258820101,0.0920000076766869,0.0579285039992178,0.0491081125448283,0.0928251115212777,0.0175976561050476,0.0928251115212777,2.0
rlds,evap-total,0.7540043220894124,0.7832421034022028,0.5459966813063568,0.1822253601283751,0.5082625675502594,0.0233683521317189,0.5082625675502594,2.0
sfcwind,qr,-0.1867159085350416,-0.2682342152157588,0.0740969680380612,0.0598138367843463,0.1218235334935503,0.0126727109866106,0.1218235334935503,2.0
rsds,evap-total,0.4611785582511544,0.334651231609392,0.3642308347688097,0.1443249894021529,0.2970584426083304,0.0362312037316789,0.2970584426083304,2.0
sfcwind,potevap,-0.380513821868623,-0.1355182722147291,0.371588526401716,0.143743850971628,0.2174658908148275,0.0433279538645339,0.2174658908148275,2.0
sfcwind,qtot,-0.211512459943564,-0.3239613439690345,0.1099660051489443,0.0689439493595921,0.126646940247001,0.0132522811944998,0.126646940247001,2.0
sfcwind,evap-total,-0.4857679168652434,-0.5253509005192919,0.2827616234024601,0.1228421242345915,0.2259448069554756,0.009272999646607,0.2259448069554756,2.0
rsds,qr,0.0550004494499038,0.1071656164168429,0.1101083603462429,0.0759786795344312,0.1148873707950597,0.0253997842698662,0.1148873707950597,2.0
rsds,potevap,0.905823172771429,0.8953389461768787,1.0963689352535797,0.3057630231082641,0.6549653917323165,0.0207221286965926,0.6549653917323165,2.0
rsds,qtot,-0.0343658297168217,0.0060212058010852,0.1064133890869829,0.0780213131804715,0.1026726933014594,0.0130206163433603,0.1026726933014594,2.0
hurs,evap-total,0.5995932578897962,0.661355462698284,0.4228150695925716,0.1513667899534358,0.4295508264745331,0.0344409336828525,0.4295508264745331,2.0
huss,evap-total,0.7828897228560474,0.8123875059775072,0.6136373513118798,0.1951820897743834,0.5572813349674042,0.0264030747426171,0.5572813349674042,2.0
hurs,potevap,-0.02175367779753,-0.0070828734996918,0.3774067275359343,0.1410897015014759,0.2406083852322068,0.1066588724577553,0.2406083852322068,2.584962500721156
