input,output,pearson,spearman,mutual information (sklearn),normalized mutual information,MIC,MAS,MEV,MCN_general
kc_forest,qr,0.002096269072791,0.0011065094370275,0.0031919605834183,0.035247544912313,0.0462072117257194,0.0017599713708613,0.0462072117257194,3.807354922057604
tasmin,qr,0.0034985641385563,0.0060479294525977,0.0053273137105716,0.0385060466481581,0.0461860308146023,0.0007779724896961,0.0461860308146023,3.807354922057604
rootFraction1_forest,qtot,0.0067674883994515,0.0003197168146796,0.001088710564848,0.0525884529336176,0.0451024904921633,0.0012069353411217,0.0451024904921633,3.807354922057604
tas,qr,0.0001246494616305,-0.0061633612208697,0.0010862165417417,0.0408275312970144,0.0450757981007898,0.0014715079144657,0.0450757981007898,3.807354922057604
tasmax,evap-total,0.0034183373254965,-0.002303576241622,0.0016204206664411,0.0623623773531654,0.0469437779926228,0.0019241307288693,0.0469437779926228,3.807354922057604
interceptcap_forest,qtot,-0.0004625261670987,0.0018215011546645,0.0,0.0468177930106812,0.0458052854793261,0.002310906216331,0.0458052854793261,3.807354922057604
tasmax,potevap,0.0108746459341739,0.0120622354028082,0.0,0.0584693816418279,0.0445092839023303,0.0005936759075903,0.0445092839023303,3.5849625007211565
tasmin,tws,0.00644970903267,-0.0008337229489649,0.0051455571860321,0.0118845361596252,0.0444188290876083,0.0008796125206912,0.0444188290876083,3.807354922057604
minSoilDepthFrac_forest,potevap,0.0016341031724994,0.0006585889902264,0.0,0.0742360927762189,0.0464026782327147,0.0027843163202204,0.0464026782327147,4.0
minSoilDepthFrac_forest,evap-total,0.0001388348305657,0.0027536564484166,0.001770587689827,0.0789173890651313,0.0465618985707974,0.0051969728134544,0.0465618985707974,3.807354922057604
kc_forest,tws,-0.0063626842176056,0.004503700172313,0.0014721495926552,0.0114424508885448,0.0467636066051374,0.0018239551293815,0.0467636066051374,3.807354922057604
tasmax,qtot,0.0031509792592362,0.0034135584458466,0.0003599748199958,0.0461673309668068,0.0462486207059005,0.0012339444356382,0.0462486207059005,3.807354922057604
tas,tws,0.0015851506593686,-0.0004700853601008,0.0032444784003233,0.0126451050748153,0.0462555287786688,0.0011560654495022,0.0462555287786688,3.807354922057604
ps,qr,0.0097889014270985,0.0043107498467084,0.0,0.0350622783761651,0.0445219832036163,0.0008658354624174,0.0445219832036163,3.807354922057604
tasmin,potevap,0.0004332938067382,0.0040621848644297,0.0,0.0577202147343679,0.0465448042769751,0.0037071058812663,0.0465448042769751,3.807354922057604
tasmin,evap-total,-0.0066497557116689,-0.0074884505334341,0.0,0.061425393055883,0.0450509135173519,0.0013470326804637,0.0450509135173519,3.807354922057604
minSoilDepthFrac_forest,qtot,-0.0004105139791544,0.0024552147708868,0.0068098597266921,0.056297971562661,0.0458596664764466,0.0033444143240238,0.0458596664764466,3.807354922057604
