input,output,pearson,spearman,mutual information (sklearn),normalized mutual information,MIC,MAS,MEV,MCN_general
minSoilDepthFrac_forest,tws,6.35822887135617e-05,-0.005109007208081,0.0053082653007301,0.0294716401198294,0.0262814953742004,0.000796122184544,0.0262814953742004,3.5849625007211565
pr,potevap,-0.0101066771867123,-0.008865119864924,0.0,0.0370883026636099,0.0265676171478937,0.0014378703215976,0.0265676171478937,3.5849625007211565
tasmax,qr,-0.0035969260532775,-0.0030880205205065,0.0,0.0388514132928102,0.0272393295577165,0.0024610585255447,0.0272393295577165,3.5849625007211565
tasmax,qtot,-0.0017624707223118,0.0006766922892791,0.00154724737137,0.0332587973543637,0.0260232991258682,0.0006335113892365,0.0260232991258682,3.321928094887362
tas,qtot,0.0042125106635651,0.0014517674892514,0.0015786526137535,0.0334967051385306,0.0255796541416039,0.0008904250615132,0.0255796541416039,3.5849625007211565
tasmax,tws,0.0037356104087839,-0.0041661823837748,0.0,0.0301715934911662,0.0247502390108326,0.0005662440154911,0.0247502390108326,3.321928094887362
tas,tws,-0.0048078913909734,-0.0033643415515419,0.0,0.0301706329522335,0.0263328088154695,0.0003141182372435,0.0263328088154695,3.5849625007211565
minSoilDepthFrac_forest,qtot,-0.0011447550635573,-0.0007207427348185,0.0,0.0332160360104548,0.0255187800592712,0.0009754889690397,0.0255187800592712,3.5849625007211565
pr,evap-total,0.002544088818549,-0.0015959960278345,0.0030800893053228,0.0374715045310787,0.0268423489775967,0.0012405676494182,0.0268423489775967,3.5849625007211565
pr,qr,0.0047753706579469,0.0061127278048986,0.0,0.0224866765544237,0.0291500009259542,0.0036321609083138,0.0291500009259542,3.807354922057604
minSoilDepthFrac_forest,potevap,0.0049132247051799,0.0049300444948555,0.0001161388075407,0.0794098944474559,0.0259050519089124,0.0004724706610691,0.0259050519089124,3.5849625007211565
pr,qtot,0.0029120504777768,0.0014794775415095,0.0012255567991976,0.0197728421577464,0.0263139234708149,0.0003354798556886,0.0263139234708149,3.321928094887362
pr,tws,-0.0051652402424992,-0.0040794788549531,0.0007091479543248,0.0209980398121046,0.0257928145563722,0.0010692026200771,0.0257928145563722,3.5849625007211565
minSoilDepthFrac_forest,qr,0.0051025742187804,0.0016525991219869,0.0005422428907753,0.0398137791295508,0.0274220604296266,0.0006622144067222,0.0274220604296266,3.807354922057604
minSoilDepthFrac_forest,evap-total,-0.0009165800890247,-0.0014124047014815,0.0,0.0750374696339641,0.0256238835153789,0.0006814565718786,0.0256238835153789,3.5849625007211565
tasmax,potevap,0.0048627723823064,0.0041913167420325,0.0031971853028291,0.076079986522364,0.0253767065717646,0.0004516264395045,0.0253767065717646,3.5849625007211565
tas,potevap,-0.0044823775772378,-0.0049991895059098,0.0009476855815933,0.0762375851051505,0.0259132444710681,0.0008688321277209,0.0259132444710681,3.321928094887362
tasmax,evap-total,0.0007240141511616,0.0015318883826973,0.0022631209453765,0.0744494883945671,0.0257945628333158,0.0008232924857185,0.0257945628333158,3.5849625007211565
tas,evap-total,0.0013839456740941,0.0009727116220818,0.0,0.0746199103929737,0.0260870199311774,0.000618817435735,0.0260870199311774,3.807354922057604
tas,qr,-0.0056855891102477,-0.0035827125693636,0.0004758507460005,0.0395287416205247,0.0285766988012428,0.0028215103302797,0.0285766988012428,3.807354922057604
rlds,qtot,-0.0027159482752023,-0.0021950927603243,0.0,0.0326319756697784,0.0267766547143916,0.0005511393479244,0.0267766547143916,3.321928094887362
rlds,evap-total,0.0030170793069986,0.0018830458431362,0.0,0.0722933020988175,0.0261196922461029,0.000419615890784,0.0261196922461029,3.5849625007211565
rlds,qr,-0.0083661707079241,-0.0102843741836652,0.0,0.0382231584932942,0.0283235976122242,0.0018767631447035,0.0283235976122242,3.807354922057604
tasmin,qr,-0.0033574140370937,0.0032859921877664,0.001867694571902,0.0382320588844518,0.0275271647054003,0.00167413197074,0.0275271647054003,3.5849625007211565
tasmin,qtot,-0.0062306316436905,-0.0066293424410871,0.0,0.0327938385567656,0.0263728606168651,0.00105894291242,0.0263728606168651,3.321928094887362
tasmin,potevap,0.0017446145966024,0.0014731049652943,0.0,0.0737034102418347,0.0251469868463906,0.0005973381563952,0.0251469868463906,3.5849625007211565
tasmin,tws,0.0022848472315296,0.0011440575481273,0.0004679737132242,0.0296074660768471,0.025744013357071,0.0005681271702168,0.025744013357071,3.5849625007211565
ps,potevap,-0.003552422221545,-0.0047778963113746,0.0007141339823029,0.0591222310830062,0.0257381816491228,0.0005895930556952,0.0257381816491228,3.321928094887362
ps,qtot,0.0035557814883,0.0049074302818238,0.0,0.0283035567734474,0.0260085826936576,0.0003980817394115,0.0260085826936576,3.5849625007211565
ps,tws,0.0031172314897254,0.0042724784211283,0.0030549958200198,0.0256655392987252,0.0256012990136558,0.0008067231253723,0.0256012990136558,3.5849625007211565
ps,evap-total,0.0024516651626011,0.0017268938949417,0.0,0.0583792011699289,0.0258035124974142,0.0011078149505565,0.0258035124974142,3.321928094887362
tasmin,evap-total,0.0045347148218068,0.0045817066620782,0.0,0.0725893821386367,0.0259381527133729,0.0011454127439714,0.0259381527133729,3.5849625007211565
rlds,potevap,0.0030676581640438,0.0014478073063196,0.0047817065406947,0.0743372328056192,0.0253279667162658,0.0006335757469619,0.0253279667162658,3.5849625007211565
rlds,tws,0.0015138764160074,0.0034847146840907,0.0,0.0300118774408531,0.0253574368563936,0.0007390526673421,0.0253574368563936,3.0
ps,qr,0.0026459643382017,0.002137257509851,0.0,0.032604579912911,0.0298258394440147,0.0043770281068345,0.0298258394440147,4.0
sfcwind,qr,-0.0080610443764697,-0.0022569009881637,0.0,0.0305079679491655,0.027792628906536,0.0030011264341543,0.027792628906536,3.807354922057604
rsds,qtot,-0.0053710143538365,-0.0032124409953466,0.0,0.0330162512698696,0.0263534756970509,0.0004557864169264,0.0263534756970509,3.5849625007211565
rsds,potevap,0.0006041568046279,0.0006986749107711,0.0,0.0745966859077734,0.0254786341546047,0.0005463668075352,0.0254786341546047,3.5849625007211565
