input,output,pearson,spearman,mutual information (sklearn),normalized mutual information,MIC,MAS,MEV,MCN_general
minSoilDepthFrac_forest,qtot,0.0157900920647462,0.0252015270045549,0.002116291368674,0.0453460965459775,0.0529696828942953,0.0014489369096334,0.0529696828942953,3.5849625007211565
pr,qtot,0.0029530856982811,-0.00868875996801,0.0,0.0324928377704977,0.054597696625203,0.001140449981142,0.054597696625203,3.807354922057604
ps,tws,-0.0165972929625713,0.0202138614155512,0.0060209308889964,0.0113258719340859,0.0553055555738494,0.002726874235628,0.0553055555738494,3.807354922057604
minSoilDepthFrac_forest,evap-total,-0.0037881643978276,-0.0049915815370192,0.0,0.0893668630530007,0.054001418944307,0.0059695263656607,0.054001418944307,3.807354922057604
ps,potevap,-0.0060379673733542,-0.0160429021169462,0.0,0.0528929220658127,0.0545164508917172,0.0011616063766877,0.0545164508917172,3.807354922057604
minSoilDepthFrac_forest,qr,0.0189991071982948,0.0126582262019901,0.0,0.042014835367818,0.053295318404996,0.0051334608873963,0.053295318404996,3.5849625007211565
rootFraction1_forest,tws,0.0035695681298071,0.0058007256475216,0.0,0.0114631537410526,0.0544718406109609,0.0011377153849696,0.0544718406109609,3.807354922057604
tasmin,tws,0.0069861460620511,-0.0024036518270928,0.0003336948057848,0.0132314912772626,0.0577349382377704,0.0038499114682669,0.0577349382377704,3.807354922057604
tasmin,potevap,0.0125186425485603,0.0077580994161203,0.0,0.0733176300497389,0.0537848243613134,0.0014349496244714,0.0537848243613134,3.807354922057604
pr,evap-total,0.0023563900928525,-0.001724267002634,0.0,0.0481806247831978,0.0544665940270986,0.0021158579289313,0.0544665940270986,3.807354922057604
rootFraction1_forest,potevap,-0.0051233585285053,-0.0061800431886999,0.0,0.0597155389134657,0.0528689516019069,0.0007345986647331,0.0528689516019069,3.5849625007211565
pr,qr,-0.0046727592240762,0.001300652193241,0.0,0.025939237574271,0.0505636176322825,0.0029112650234533,0.0505636176322825,3.807354922057604
ps,qtot,0.001151674614487,0.0028193532844763,0.0013887074704967,0.0350736079629543,0.0527528410137628,0.0014997232205848,0.0527528410137628,3.807354922057604
