input,output,pearson,spearman,mutual information (sklearn),normalized mutual information,MIC,MAS,MEV,MCN_general
kc_forest,qr,0.0102234593750287,0.0044142027340898,0.0,0.0501741073439706,0.0616495731430731,0.002956150727489,0.0616495731430731,3.5849625007211565
tasmin,qr,-0.0072854379889265,-0.0010883536291776,0.00276565862357,0.0556773895529467,0.0634483264530109,0.0015415069785052,0.0634483264530109,3.5849625007211565
rootFraction1_forest,qtot,-0.0163766174511298,-0.0182762961395169,0.0071370130093821,0.0540808524402839,0.0625039079795419,0.0025584673355936,0.0625039079795419,3.807354922057604
tas,qr,-0.0071730051260673,-0.005483066685415,0.0,0.0595053970996075,0.0632545229388867,0.0024394113060978,0.0632545229388867,3.5849625007211565
tasmax,evap-total,0.0102074627959202,0.0143051865379593,0.0063472658541856,0.084190112938678,0.0633356172816654,0.0025929894308302,0.0633356172816654,3.5849625007211565
interceptcap_forest,qtot,-0.0145672366923594,-0.003991819125646,0.0,0.0507715455910011,0.0649158860103967,0.003068588359128,0.0649158860103967,3.5849625007211565
tasmax,potevap,-0.0050119216137687,-0.0086035778219801,0.0144754401137783,0.0816214168653361,0.0614224280729382,0.0029619771831868,0.0614224280729382,3.5849625007211565
tasmin,tws,0.006038505397972,0.0032898375225141,0.0,0.0461963362596807,0.0647588628044479,0.0041104294659117,0.0647588628044479,3.807354922057604
minSoilDepthFrac_forest,potevap,-0.0139260769066874,-0.004414647320453,0.0098812568484714,0.0882608913836583,0.0651036295403809,0.0057436014706414,0.0651036295403809,3.807354922057604
minSoilDepthFrac_forest,evap-total,-0.0131847553226002,-0.0142511312265891,0.0,0.0914563763099472,0.0642754768705846,0.0015760233164368,0.0642754768705846,3.807354922057604
kc_forest,tws,-0.0028051724867658,-0.0004747330458817,0.0094246312133776,0.0407439943740375,0.0634692500186735,0.0038539190869983,0.0634692500186735,3.807354922057604
