region,,global,global,global,dry cold,dry cold,dry cold,dry warm,dry warm,dry warm,wet cold,wet cold,wet cold,wet warm,wet warm,wet warm
measure,,pearson,spearman,MIC,pearson,spearman,MIC,pearson,spearman,MIC,pearson,spearman,MIC,pearson,spearman,MIC
subcol,,input,input,input,input,input,input,input,input,input,input,input,input,input,input,input
output,rank,,,,,,,,,,,,,,,
evap-total,1,pr,pr,pr,pr,pr,pr,pr,pr,pr,tasmax,tasmax,tasmax,huss,huss,huss
evap-total,2,huss,interceptcap_grassland,interceptcap_forest,huss,interceptcap_irrNonPaddy,interceptcap_grassland,hurs,hurs,fracgrassland,huss,huss,huss,rlds,rlds,albedoWater
evap-total,3,interceptcap_forest,interceptcap_forest,interceptcap_irrNonPaddy,interceptcap_irrNonPaddy,interceptcap_irrPaddy,interceptcap_irrNonPaddy,huss,chanbw,chanbw,tas,tas,tas,tasmin,pr,rlds
evap-total,4,interceptcap_irrNonPaddy,interceptcap_irrNonPaddy,interceptcap_irrPaddy,interceptcap_forest,interceptcap_grassland,interceptcap_irrPaddy,interceptcap_grassland,huss,fracforest,tasmin,tasmin,tasmin,interceptcap_grassland,interceptcap_grassland,chanleng
evap-total,5,interceptcap_grassland,interceptcap_irrPaddy,interceptcap_grassland,interceptcap_irrPaddy,interceptcap_forest,interceptcap_forest,interceptcap_irrNonPaddy,fracforest,interceptcap_irrNonPaddy,rlds,rlds,interceptcap_irrPaddy,interceptcap_forest,interceptcap_irrNonPaddy,interceptcap_irrNonPaddy
evap-total,6,interceptcap_irrPaddy,huss,kc_grassland,interceptcap_grassland,huss,kc_forest,interceptcap_forest,interceptcap_irrPaddy,interceptcap_grassland,interceptcap_irrNonPaddy,interceptcap_irrNonPaddy,interceptcap_grassland,interceptcap_irrPaddy,interceptcap_forest,interceptcap_irrPaddy
potevap,1,tasmax,tasmax,tasmax,tasmax,tasmax,albedoWater,tasmax,rsds,rsds,huss,tasmax,tasmax,rsds,rsds,rsds
potevap,2,rsds,tas,albedoWater,tas,tas,tasmax,rsds,tasmax,tasmax,tasmax,huss,huss,tasmax,tas,tasmax
potevap,3,tas,rsds,tas,tasmin,tasmin,rsds,tas,tas,hurs,tas,tas,albedoLand,tas,tasmax,tas
potevap,4,tasmin,tasmin,rsds,rsds,rsds,cellarea30min,tasmin,sfcwind,tas,tasmin,tasmin,tas,tasmin,tasmin,tasmin
potevap,5,rlds,rlds,tasmin,cellarea30min,cellarea30min,tas,sfcwind,tasmin,rootFraction1_irrNonPaddy,rlds,rlds,albedoWater,rlds,rlds,huss
potevap,6,cellarea30min,cellarea30min,chanleng,rlds,huss,chanleng,albedoLand,albedoLand,rootFraction1_grassland,rsds,livestockConsumption,chanleng,huss,huss,albedoWater
tws,1,albedoLand,pr,pr,chanbw,firstStorDepth,percolationImp,chanbw,pr,lambda3,pr,firstStorDepth,firstStorDepth,pr,pr,recessionCoeff
tws,2,lambda1,firstStorDepth,percolationImp,ups,secondStorDepth,secondStorDepth,chanbnkf,chanbw,pr,firstStorDepth,secondStorDepth,secondStorDepth,chanbw,secondStorDepth,pr
tws,3,lambda2,secondStorDepth,secondStorDepth,chanbnkf,thetar3,firstStorDepth,pr,chanbnkf,ksat3,secondStorDepth,pr,percolationImp,ups,firstStorDepth,percolationImp
tws,4,sfcwind,chanbw,firstStorDepth,lakeresType,pr,alpha1,ups,fracforest,chanbw,chanbw,rlds,minSoilDepthFrac_grassland,secondStorDepth,rlds,secondStorDepth
tws,5,lambda3,hurs,chanbw,lakeresDis,thetas2,thetar3,huss,huss,lambda2,minSoilDepthFrac_irrNonPaddy,tasmin,minSoilDepthFrac_forest,firstStorDepth,huss,firstStorDepth
tws,6,efficiency,interceptcap_irrNonPaddy,lambda3,lakeresYear,thetar1,ksat1,hurs,hurs,lambda1,minSoilDepthFrac_forest,tas,minSoilDepthFrac_irrNonPaddy,huss,fracforest,huss
qtot,1,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr
qtot,2,interceptcap_forest,chanbw,chanbw,hurs,hurs,hurs,huss,chanbw,chanbw,dzRel0100,chanbw,ksat1,hurs,hurs,lambda1
qtot,3,interceptcap_irrNonPaddy,hurs,hurs,lakeresArea,efficiency,rsds,hurs,huss,ksat3,dzRel0090,rsds,thetas3,huss,huss,thetas3
qtot,4,interceptcap_irrPaddy,chanbnkf,minSoilDepthFrac_grassland,efficiency,fracforest,cellarea30min,rlds,hurs,hurs,tanslope,dzRel0100,thetas1,dzRel0100,rlds,thetas1
qtot,5,interceptcap_grassland,interceptcap_grassland,minSoilDepthFrac_irrNonPaddy,rootFraction1_forest,chanbw,albedoWater,fracforest,fracforest,lambda3,dzRel0080,tasmin,tasmax,rlds,tasmin,ksat3
qtot,6,huss,interceptcap_forest,minSoilDepthFrac_irrPaddy,rootFraction1_irrPaddy,rootFraction1_irrNonPaddy,efficiency,interceptcap_irrPaddy,chanbnkf,huss,dzRel0070,dzRel0090,ksat3,interceptcap_irrNonPaddy,chanbw,lambda3
